"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PRMT7","-0.3081","9.167","-3.664","0.0004483","0.004915","-0.3074"
"KIAA1468","-0.3081","8.851","-3.237","0.001765","0.01288","-1.561"
"SFTA1P","-0.3082","2.883","-0.9524","0.3438","0.5398","-5.957"
"TIMM8B","-0.3083","9.936","-1.684","0.09616","0.2299","-5.029"
"TMEM211","-0.3084","-0.8233","-2.698","0.008533","0.04043","-2.975"
"TCEANC","-0.3085","5.463","-2.778","0.006822","0.03447","-2.777"
"HBS1L","-0.3085","9.669","-3.093","0.002742","0.01773","-1.96"
"C16orf68","-0.3085","7.61","-3.412","0.00102","0.008775","-1.061"
"KIAA1712","-0.3086","8.188","-2.701","0.008454","0.04018","-2.967"
"ASPSCR1","-0.3087","8.852","-3.444","0.0009192","0.008155","-0.9666"
"ZNF570","-0.3088","6.316","-2.3","0.02409","0.08553","-3.881"
"LSMD1","-0.309","9.797","-1.791","0.07718","0.1973","-4.853"
"RPS12","-0.3091","11.99","-1.87","0.06513","0.1753","-4.715"
"KCNH1","-0.3091","5.85","-0.6948","0.4892","0.6699","-6.164"
"NUP35","-0.3093","8.263","-2.39","0.01925","0.07283","-3.687"
"NXF4","-0.3093","0.1657","-0.9939","0.3233","0.5228","-5.917"
"TMEM212","-0.3094","-0.4208","-1.106","0.2719","0.4664","-5.803"
"SAMD8","-0.3094","6.461","-1.794","0.07671","0.1966","-4.848"
"XRCC6BP1","-0.3096","6.57","-1.089","0.2793","0.4753","-5.821"
"XIST","-0.3096","6.334","-0.3151","0.7535","0.8789","-6.352"
"CACNA1A","-0.3096","7.677","-0.8682","0.3879","0.5798","-6.031"
"SLC9A6","-0.3096","9.999","-2.079","0.04089","0.1255","-4.33"
"GLCE","-0.3097","8.708","-2.502","0.01441","0.05904","-3.436"
"AWAT2","-0.3098","-0.4962","-1.703","0.09259","0.2242","-4.999"
"LOC399959","-0.3101","10.58","-1.643","0.1043","0.2436","-5.093"
"ZFP1","-0.3102","8.786","-3.14","0.002379","0.016","-1.832"
"HSD17B1","-0.3103","5.649","-2.163","0.03359","0.109","-4.164"
"LOC341056","-0.3103","1.815","-1.719","0.08944","0.219","-4.972"
"FIG4","-0.3107","9.105","-2.868","0.005289","0.02859","-2.55"
"GGT3P","-0.3107","1.549","-1.239","0.219","0.4028","-5.652"
"RNF219","-0.311","8.522","-2.763","0.007117","0.03555","-2.815"
"IL12RB2","-0.3111","2.47","-0.7874","0.4334","0.622","-6.097"
"ATP6V1E1","-0.3111","11.31","-2.321","0.02285","0.0822","-3.835"
"KCTD13","-0.3111","9.267","-1.997","0.0493","0.1432","-4.486"
"C9orf130","-0.3111","7.667","-2.459","0.01612","0.06406","-3.533"
"PIF1","-0.3111","6.114","-1.076","0.2851","0.482","-5.835"
"GATS","-0.3112","10.2","-1.647","0.1036","0.2427","-5.088"
"MBL1P","-0.3113","1.558","-1.169","0.246","0.4357","-5.734"
"MEF2C","-0.3115","10.34","-1.699","0.09325","0.2252","-5.005"
"WDR25","-0.3116","7.93","-3.05","0.003112","0.01935","-2.074"
"TARP","-0.3116","1.116","-0.9734","0.3333","0.5321","-5.937"
"FLJ10038","-0.3118","8.096","-2.444","0.01676","0.06596","-3.567"
"RAPGEF5","-0.3119","8.931","-1.198","0.2344","0.4217","-5.7"
"EIF1B","-0.3119","10.21","-2.914","0.004639","0.02587","-2.433"
"LOC284232","-0.3121","4.244","-2.091","0.03974","0.1232","-4.306"
"CASK","-0.3121","10.62","-2.459","0.01612","0.06406","-3.534"
"LOC642826","-0.3125","5.258","-1.427","0.1574","0.3242","-5.41"
"KLK2","-0.3125","-0.6073","-1.35","0.181","0.3545","-5.514"
"POLR3H","-0.3127","10.41","-3","0.003614","0.02157","-2.209"
"TESC","-0.3127","6.513","-1.211","0.2295","0.4157","-5.685"
"DUOX2","-0.3129","1.549","-1.063","0.2909","0.4888","-5.848"
"CDK19","-0.3129","9.569","-2.277","0.0255","0.08915","-3.929"
"TOMM20L","-0.3129","1.253","-1.462","0.1478","0.3101","-5.362"
"SLC44A5","-0.3129","6.713","-0.6111","0.5429","0.7171","-6.217"
"GHITM","-0.313","11.45","-2.495","0.01468","0.05989","-3.452"
"FHIT","-0.3131","6.095","-1.452","0.1506","0.3144","-5.377"
"RAB18","-0.3132","10.65","-3.292","0.001488","0.01145","-1.406"
"PGPEP1L","-0.3133","-0.3238","-1.493","0.1395","0.2986","-5.319"
"FAM190B","-0.3134","9.906","-2.656","0.009566","0.04358","-3.076"
"INPP5F","-0.3134","9.426","-1.38","0.1716","0.3418","-5.475"
"ZDHHC17","-0.3134","9.977","-3.039","0.003214","0.01977","-2.104"
"TRIB3","-0.3134","8.686","-1.221","0.2258","0.4113","-5.674"
"SUSD4","-0.3136","8.748","-1.263","0.2105","0.3926","-5.624"
"BTNL2","-0.3136","0.2621","-1.171","0.2453","0.4349","-5.732"
"USP6","-0.3136","5.52","-1.782","0.07852","0.1999","-4.867"
"C1orf216","-0.3138","10.06","-2.324","0.02268","0.08174","-3.829"
"SESN3","-0.3139","7.553","-1.406","0.1637","0.3321","-5.439"
"NPM3","-0.3139","8.115","-2.027","0.04604","0.1362","-4.429"
"ARPM1","-0.314","3.218","-0.8563","0.3944","0.5853","-6.041"
"PM20D2","-0.314","8.608","-2.373","0.0201","0.07516","-3.725"
"PGR","-0.3141","2.321","-0.8507","0.3975","0.5882","-6.046"
"FAM92A1","-0.3143","7.752","-2.992","0.003696","0.02189","-2.229"
"KC6","-0.3144","-0.5858","-1.211","0.2295","0.4157","-5.685"
"SLC25A22","-0.3145","9.724","-1.621","0.109","0.2513","-5.128"
"LY6G6C","-0.3145","0.8308","-1.182","0.2409","0.4296","-5.719"
"ZNF771","-0.3146","7.624","-2.352","0.02119","0.07802","-3.77"
"NUAK1","-0.3148","8.97","-1.411","0.1622","0.3306","-5.433"
"VDAC2","-0.3149","9.952","-3.285","0.001524","0.01164","-1.428"
"C11orf51","-0.315","8.946","-2.263","0.02636","0.09133","-3.958"
"LDB1","-0.3151","9.58","-2.386","0.01942","0.07328","-3.695"
"C11orf2","-0.3151","10.92","-3.864","0.0002277","0.003059","0.3183"
"CNGB1","-0.3152","1.198","-0.5984","0.5513","0.7241","-6.225"
"MGC16703","-0.3154","4.427","-1.269","0.208","0.3897","-5.615"
"COPS3","-0.3155","10.51","-2.82","0.006072","0.03168","-2.673"
"SIK3","-0.3158","10.26","-2.431","0.01731","0.06746","-3.595"
"LRRC40","-0.3158","8.905","-3.601","0.0005529","0.005688","-0.5003"
"SLC9A2","-0.3158","2.298","-0.7866","0.4338","0.6223","-6.097"
"C1QBP","-0.3159","11.09","-2.255","0.02688","0.09253","-3.974"
"MON1A","-0.3159","8.827","-4.13","0.00008943","0.001598","1.186"
"FKBP4","-0.3159","11.02","-3.27","0.001595","0.012","-1.469"
"PFDN6","-0.3162","9.05","-3.115","0.002567","0.01692","-1.901"
"KIF22","-0.3163","9.793","-2.125","0.03672","0.1163","-4.239"
"NDUFS7","-0.3165","10.46","-3.01","0.003502","0.02107","-2.181"
"SRPK2","-0.3166","10.78","-2.987","0.003757","0.02218","-2.244"
"LRRC37B","-0.3166","7.78","-2.732","0.007764","0.0378","-2.892"
"CTDSPL2","-0.3167","9.328","-2.731","0.007782","0.03786","-2.894"
"SLC14A2","-0.3167","1.167","-0.9504","0.3448","0.5399","-5.959"
"UQCR11","-0.3168","11.08","-2.039","0.04481","0.1337","-4.406"
"MTMR2","-0.3168","9.907","-3.525","0.0007082","0.006764","-0.7277"
"ZNF329","-0.3169","8.196","-1.522","0.1321","0.2885","-5.277"
"PRDM8","-0.3171","6.073","-0.7017","0.4849","0.6659","-6.159"
"OR2T4","-0.3171","-0.7429","-2.818","0.006104","0.03176","-2.678"
"SH3YL1","-0.3172","9.034","-3.078","0.002862","0.01827","-1.999"
"SSSCA1","-0.3172","7.998","-3.301","0.001447","0.01125","-1.381"
"GDA","-0.3173","6.373","-0.5285","0.5987","0.7632","-6.264"
"ATP5D","-0.3174","10.59","-2.884","0.005059","0.02756","-2.511"
"TSNARE1","-0.3174","7.33","-2.376","0.01991","0.07463","-3.717"
"PQBP1","-0.3174","10.09","-3.369","0.001167","0.009627","-1.185"
"LOC650368","-0.3174","2.498","-0.6685","0.5058","0.685","-6.181"
"AP2B1","-0.3174","12.88","-3.681","0.0004229","0.004723","-0.2536"
"CRYAA","-0.3175","1.263","-0.9715","0.3343","0.5327","-5.939"
"THEMIS","-0.3176","2.9","-0.8358","0.4058","0.5958","-6.058"
"PABPN1L","-0.3176","-0.6877","-2.464","0.0159","0.06336","-3.522"
"CREB3L3","-0.3177","-0.3244","-1.236","0.2203","0.4041","-5.656"
"RASGRP1","-0.3179","7.898","-1.002","0.3196","0.519","-5.91"
"MGC23284","-0.318","5.901","-1.941","0.05583","0.1567","-4.589"
"OXT","-0.318","-0.6499","-2.256","0.02685","0.09245","-3.974"
"RAPGEF6","-0.3181","7.417","-1.87","0.06515","0.1753","-4.716"
"ANXA3","-0.3182","3.764","-0.6733","0.5027","0.6825","-6.178"
"ETNK1","-0.3182","10.36","-3.306","0.001423","0.01112","-1.366"
"ARL5C","-0.3184","-0.157","-1.689","0.09512","0.2281","-5.021"
"NOSIP","-0.3184","9.834","-2.239","0.02799","0.09534","-4.009"
"THPO","-0.3186","3.877","-1.228","0.2231","0.4079","-5.665"
"BEND5","-0.3186","8.058","-2.329","0.02244","0.08111","-3.82"
"MPST","-0.3187","9.516","-2.35","0.02126","0.07819","-3.773"
"MAST3","-0.3187","9.326","-1.26","0.2112","0.3934","-5.626"
"METTL10","-0.3188","7.479","-3.11","0.002604","0.01707","-1.914"
"KRTAP5.2","-0.3188","0.2999","-0.8522","0.3967","0.5875","-6.045"
"AGTR2","-0.3191","-0.7191","-1.387","0.1694","0.3387","-5.465"
"ADRB1","-0.3193","5.781","-1.085","0.2813","0.4776","-5.826"
"HIST1H4L","-0.3193","-0.482","-1.336","0.1855","0.3607","-5.532"
"APBB1","-0.3193","11.22","-2.065","0.04224","0.1282","-4.357"
"CCDC78","-0.3194","5.642","-1.017","0.3122","0.5112","-5.895"
"KRT84","-0.3195","-0.7143","-1.631","0.1069","0.2479","-5.113"
"SUPT3H","-0.3195","6.44","-1.967","0.05271","0.1505","-4.541"
"GJB5","-0.3197","2.949","-1.048","0.2976","0.496","-5.863"
"AGAP8","-0.32","5.503","-1.288","0.2016","0.3816","-5.593"
"CACNA1D","-0.32","6.18","-0.9365","0.3519","0.5447","-5.971"
"SNORA21","-0.3203","-0.5762","-1.745","0.08486","0.2111","-4.93"
"FGF7","-0.3204","3.802","-1.433","0.1557","0.3217","-5.402"
"CLC","-0.3206","-0.3231","-0.9866","0.3268","0.526","-5.924"
"LAPTM4B","-0.3206","11.74","-2.142","0.03531","0.1129","-4.206"
"EFCAB7","-0.3206","7.926","-2.952","0.004159","0.02392","-2.335"
"LOC401463","-0.3207","0.01462","-0.9751","0.3325","0.5314","-5.935"
"ZNF530","-0.3208","6.61","-1.955","0.05413","0.1534","-4.563"
"PARP2","-0.321","9.164","-2.656","0.00956","0.04356","-3.076"
"ASNA1","-0.3211","11.43","-2.42","0.01782","0.0689","-3.621"
"ZNF566","-0.3211","8.156","-2.944","0.004258","0.02434","-2.356"
"COQ6","-0.3211","8.313","-2.695","0.0086","0.04061","-2.982"
"ZNF35","-0.3212","7.697","-2.766","0.007069","0.03543","-2.809"
"C22orf42","-0.3212","-0.7912","-2.197","0.03099","0.1028","-4.096"
"SNORA11E","-0.3213","-0.6083","-1.613","0.1107","0.254","-5.14"
"LDOC1L","-0.3214","10.76","-2.288","0.02481","0.08742","-3.906"
"GNAS","-0.3216","15.04","-3.033","0.003276","0.02004","-2.121"
"EPM2AIP1","-0.3218","10.14","-2.755","0.007288","0.0361","-2.836"
"MTCH1","-0.3218","12.6","-3.125","0.002488","0.01652","-1.872"
"ZRANB1","-0.3219","9.267","-2.719","0.008056","0.03875","-2.925"
"BYSL","-0.3219","8.705","-2.759","0.007201","0.03583","-2.825"
"GGT7","-0.3219","9.837","-2.97","0.003938","0.02299","-2.286"
"WDR52","-0.3221","7.278","-1.383","0.1704","0.34","-5.47"
"ZNF606","-0.3222","8.788","-2.14","0.03546","0.1132","-4.21"
"PTPRO","-0.3223","8.995","-1.464","0.147","0.3092","-5.359"
"NINJ2","-0.3223","6.284","-1.115","0.2683","0.4621","-5.793"
"SLC10A5","-0.3225","2.224","-2.087","0.04012","0.1241","-4.314"
"RNU11","-0.3225","-0.5171","-1.807","0.07463","0.1927","-4.826"
"ZNF699","-0.3226","4.892","-1.467","0.1464","0.3084","-5.355"
"GALR3","-0.3227","0.1389","-1.497","0.1384","0.2969","-5.313"
"ZNF667","-0.3228","7.515","-2.045","0.04422","0.1324","-4.395"
"AKIRIN2","-0.3228","10.39","-3.766","0.0003183","0.003819","0.008512"
"SH2D3C","-0.323","8.123","-1.98","0.05114","0.1472","-4.516"
"ACER1","-0.3231","-0.3353","-1.646","0.1038","0.2429","-5.09"
"WNT3","-0.3231","5","-1.545","0.1263","0.2794","-5.243"
"ZNF391","-0.3231","5.443","-2.279","0.02537","0.08883","-3.925"
"ART4","-0.3233","-0.6187","-2.154","0.03425","0.1106","-4.181"
"RGPD8","-0.3235","0.1476","-0.6315","0.5295","0.7055","-6.205"
"CYMP","-0.3236","-0.7527","-2.567","0.01215","0.05202","-3.287"
"GPS1","-0.3237","11.32","-4.048","0.0001196","0.001974","0.9158"
"LOC92973","-0.3238","6.749","-1.394","0.1672","0.3362","-5.455"
"COX7A2L","-0.3238","10.5","-2.257","0.02677","0.09228","-3.971"
"SHMT2","-0.3238","10.94","-1.948","0.05492","0.1549","-4.575"
"PRR25","-0.3239","-0.09023","-1.587","0.1166","0.2634","-5.18"
"ZNF565","-0.3239","6.444","-3.398","0.001065","0.009063","-1.101"
"ISL1","-0.324","-0.5089","-1.044","0.2998","0.4987","-5.868"
"OR3A1","-0.3241","-0.3114","-1.721","0.08921","0.2186","-4.97"
"C2CD4D","-0.3243","1.825","-1.001","0.3197","0.519","-5.91"
"CLDND2","-0.3243","2.462","-1.225","0.2243","0.4096","-5.669"
"POLN","-0.3244","5.263","-1.817","0.07305","0.19","-4.809"
"NCRNA00081","-0.3244","8.274","-2.873","0.005216","0.02827","-2.538"
"ATAD3C","-0.3248","5.184","-1.021","0.3103","0.5096","-5.891"
"C14orf104","-0.325","8.206","-2.616","0.01066","0.04722","-3.171"
"UFD1L","-0.3252","10.03","-2.645","0.00985","0.04447","-3.102"
"CCDC148","-0.3253","4.021","-1.59","0.1159","0.2624","-5.176"
"ZBTB37","-0.3253","3.693","-2.209","0.03011","0.1006","-4.071"
"HIST1H2AB","-0.3255","0.1012","-1.089","0.2794","0.4754","-5.821"
"SNCAIP","-0.3256","8.88","-1.263","0.2104","0.3926","-5.623"
"GOPC","-0.3256","9.727","-2.86","0.005413","0.02909","-2.571"
"C19orf62","-0.3257","10.7","-3.232","0.001792","0.01305","-1.575"
"MKRN2","-0.3259","9.744","-4.925","0.000004537","0.0002053","3.98"
"C17orf81","-0.3259","10.09","-2.538","0.0131","0.05513","-3.353"
"RAB30","-0.3259","6.511","-2.337","0.022","0.08013","-3.803"
"OIT3","-0.3261","0.009506","-1.622","0.1089","0.2511","-5.127"
"OR7C1","-0.3261","0.572","-1.221","0.2257","0.4112","-5.673"
"TTC21B","-0.3261","8.293","-3.485","0.0008054","0.007425","-0.8456"
"MAP3K4","-0.3261","9.022","-2.313","0.0233","0.08349","-3.852"
"ATP6V0E2","-0.3265","12.61","-2.091","0.0397","0.1231","-4.305"
"PUS7L","-0.3266","7.325","-2.919","0.004573","0.02566","-2.42"
"DDC","-0.3267","0.6955","-1.037","0.3028","0.5017","-5.875"
"ACAN","-0.3267","5.872","-0.6421","0.5226","0.7003","-6.198"
"CT45A2","-0.3268","0.1055","-0.9568","0.3416","0.5388","-5.953"
"SLC13A5","-0.3268","3.995","-0.5195","0.6049","0.7684","-6.268"
"C3orf33","-0.3269","7.026","-2.52","0.01374","0.05694","-3.394"
"BZW2","-0.327","10.11","-1.965","0.0529","0.1509","-4.544"
"PPP2R3B","-0.327","7.674","-1.17","0.2455","0.4351","-5.732"
"CCDC138","-0.327","6.024","-1.721","0.08921","0.2186","-4.97"
"AMELX","-0.3271","-0.7173","-1.564","0.1218","0.2724","-5.215"
"SETD5","-0.3271","11.23","-2.048","0.04391","0.1318","-4.389"
"OLA1","-0.3271","10.62","-3.442","0.0009274","0.008203","-0.9747"
"RPL27","-0.3273","13.12","-1.827","0.07151","0.1873","-4.792"
"SLCO6A1","-0.3273","-0.5619","-1.848","0.06828","0.1813","-4.754"
"FOXA1","-0.3275","0.485","-0.6367","0.5262","0.7029","-6.202"
"IGSF9B","-0.3275","6.009","-0.8785","0.3824","0.5743","-6.023"
"ASTN1","-0.3276","11.28","-1.562","0.1224","0.2733","-5.218"
"PRKAB2","-0.3277","9.665","-2.729","0.007839","0.03806","-2.9"
"PGBD1","-0.3277","8.039","-3.181","0.002102","0.01459","-1.72"
"LEPROTL1","-0.3278","10.3","-3.38","0.001131","0.009453","-1.156"
"C2orf60","-0.3278","7.909","-4.056","0.0001162","0.00193","0.9423"
"TRNT1","-0.3281","8.348","-4.61","0.00001529","0.0004883","2.837"
"ZNF799","-0.3282","6.356","-3.086","0.002801","0.01796","-1.98"
"CCNF","-0.3283","8.008","-1.844","0.069","0.1827","-4.763"
"GTF2A1","-0.3283","6.696","-1.506","0.136","0.2937","-5.299"
"ABLIM3","-0.3288","8.597","-1.292","0.2001","0.3795","-5.587"
"BRF2","-0.3289","8.761","-3.21","0.00192","0.01367","-1.638"
"WSB2","-0.3289","11.63","-3.227","0.00182","0.01321","-1.589"
"ATP5L","-0.3289","11.25","-2.542","0.01298","0.05475","-3.345"
"YWHAE","-0.3289","14.5","-2.693","0.008645","0.04068","-2.987"
"METTL2A","-0.329","8.9","-2.846","0.005644","0.02996","-2.608"
"FAM22D","-0.329","6.05","-1.285","0.2025","0.3828","-5.596"
"CYorf15A","-0.329","4.973","-0.3808","0.7044","0.8428","-6.33"
"SMARCB1","-0.3291","10.84","-3.037","0.00324","0.01986","-2.111"
"GJB7","-0.3293","-0.3743","-1.918","0.05876","0.1628","-4.631"
"SSBP3","-0.3294","8.627","-1.841","0.06937","0.1835","-4.767"
"KBTBD8","-0.3297","6.647","-2.418","0.0179","0.06904","-3.624"
"ELP2P","-0.3297","4.069","-1.801","0.07555","0.1943","-4.836"
"NYNRIN","-0.33","8.179","-1.51","0.1352","0.2925","-5.295"
"RALGAPA1","-0.3302","8.678","-2.581","0.01171","0.05071","-3.255"
"TIPRL","-0.3303","10.11","-3.578","0.0005962","0.005992","-0.5696"
"CCDC141","-0.3304","3.433","-1.011","0.315","0.5144","-5.9"
"LOC151174","-0.3306","3.615","-1.085","0.2812","0.4775","-5.825"
"CGRRF1","-0.3308","8.664","-2.221","0.02921","0.09839","-4.045"
"MATR3","-0.3308","12.87","-4.828","0.000006616","0.0002675","3.625"
"PLEKHB2","-0.3308","11.71","-3.146","0.002334","0.0158","-1.815"
"ZNF320","-0.3309","8.734","-1.971","0.05219","0.1494","-4.533"
"KCNA3","-0.3309","3.739","-0.7829","0.436","0.6241","-6.1"
"DEPDC1B","-0.331","6.794","-1.08","0.2835","0.48","-5.831"
"HOXD13","-0.3311","4.618","-0.4583","0.648","0.8028","-6.298"
"CHRNA7","-0.3311","3.218","-0.8606","0.392","0.5834","-6.038"
"LRP3","-0.3315","10.69","-2.313","0.02331","0.08349","-3.852"
"DDX4","-0.3317","-0.2904","-1.79","0.07722","0.1973","-4.854"
"PPT2","-0.3321","9.142","-3.437","0.0009404","0.008285","-0.9874"
"GPR155","-0.3321","9.081","-1.911","0.0596","0.1643","-4.643"
"KIAA1524","-0.3324","7.204","-1.897","0.06152","0.1682","-4.669"
"NDUFB5","-0.3325","10.85","-2.241","0.02784","0.09499","-4.004"
"SNORD116.28","-0.3325","5.165","-1.297","0.1985","0.3772","-5.581"
"MRPL14","-0.3326","9.252","-2.326","0.02261","0.08157","-3.826"
"RPP21","-0.3326","8.224","-2.73","0.0078","0.03792","-2.896"
"KCNAB3","-0.3328","6.352","-1.444","0.1526","0.3174","-5.387"
"CT62","-0.3329","-0.5002","-1.893","0.06206","0.1694","-4.676"
"OR7A5","-0.3329","2.312","-0.7315","0.4667","0.6504","-6.138"
"UQCRH","-0.333","10.53","-2.455","0.01627","0.06458","-3.542"
"ARMCX5","-0.3331","7.711","-3.66","0.0004537","0.00495","-0.3183"
"MYLIP","-0.3333","7.831","-1.63","0.1071","0.2482","-5.114"
"MYL6B","-0.3333","10.58","-2.98","0.00383","0.02251","-2.261"
"ANKRD2","-0.3333","1.097","-0.8333","0.4072","0.5969","-6.06"
"LOC400931","-0.3335","6.27","-1.147","0.255","0.4465","-5.759"
"FTHL3","-0.3335","2.587","-0.9749","0.3326","0.5314","-5.936"
"DFFB","-0.3335","7.207","-3.458","0.0008805","0.007916","-0.9272"
"C6orf59","-0.3336","4.036","-1.221","0.2259","0.4113","-5.674"
"C20orf112","-0.3336","9.116","-1.947","0.05505","0.1551","-4.577"
"TMEM198","-0.3337","8.856","-2.395","0.01897","0.07197","-3.675"
"REV3L","-0.3337","9.691","-1.693","0.09444","0.2272","-5.015"
"ASB3","-0.3339","9.479","-3.39","0.001093","0.009215","-1.124"
"DNAJC19","-0.3339","8.677","-2.506","0.01426","0.05854","-3.427"
"SP7","-0.334","0.917","-1.216","0.2277","0.4135","-5.68"
"DUSP28","-0.334","7.292","-2.999","0.003621","0.02159","-2.211"
"XYLB","-0.3341","5.247","-1.725","0.08849","0.2175","-4.963"
"C16orf87","-0.3343","6.996","-2.897","0.004871","0.02682","-2.477"
"LRRC20","-0.3343","8.772","-2.179","0.03231","0.1061","-4.131"
"LYSMD1","-0.3344","8.336","-3.278","0.001554","0.01179","-1.446"
"G2E3","-0.3345","8.27","-2.531","0.01337","0.05591","-3.37"
"C2orf64","-0.3347","10.2","-2.487","0.01501","0.06082","-3.471"
"STK39","-0.3348","9.833","-3.359","0.001208","0.009865","-1.216"
"RPP40","-0.335","7.279","-2.668","0.009259","0.04266","-3.047"
"ILDR2","-0.335","6.177","-0.9029","0.3693","0.5618","-6.001"
"SEMA4G","-0.3351","7.022","-2.029","0.04585","0.1359","-4.426"
"BTF3L4","-0.3352","10.4","-3.088","0.002783","0.01789","-1.974"
"NLE1","-0.3353","8.24","-3.735","0.0003525","0.004099","-0.08559"
"DNASE2B","-0.3354","2.281","-1.051","0.2967","0.4949","-5.861"
"HCN3","-0.3354","7.219","-1.836","0.07007","0.1848","-4.775"
"TMPRSS9","-0.3356","3.12","-0.7248","0.4707","0.6542","-6.143"
"LOC729082","-0.3356","8.585","-2.919","0.004576","0.02566","-2.421"
"HSN2","-0.3358","2.443","-0.9349","0.3527","0.5454","-5.973"
"LOC390595","-0.3358","3.837","-1.432","0.1561","0.3222","-5.404"
"FLJ40292","-0.3359","0.9214","-1.428","0.1574","0.3242","-5.41"
"LOC283267","-0.3359","8.427","-2.481","0.01521","0.06136","-3.483"
"TSPYL3","-0.3361","5.545","-2.049","0.04383","0.1316","-4.388"
"HCG18","-0.3361","8.455","-3.269","0.001599","0.01201","-1.471"
"DIP2C","-0.3361","9.403","-2.042","0.04446","0.133","-4.4"
"AKT3","-0.3362","9.63","-1.723","0.08887","0.2181","-4.967"
"ACO2","-0.3363","11.83","-2.506","0.01426","0.05854","-3.427"
"ADSL","-0.3365","9.896","-2.218","0.02946","0.0991","-4.053"
"YIPF7","-0.3365","2.302","-1.517","0.1332","0.2901","-5.284"
"MYH6","-0.3365","1.43","-1.14","0.2578","0.4495","-5.766"
"CCBL1","-0.3366","8.114","-2.512","0.01403","0.05787","-3.412"
"FAM49A","-0.3367","8.236","-1.915","0.0591","0.1634","-4.636"
"RNGTT","-0.3369","8.638","-4.237","0.00006076","0.001227","1.546"
"HIST1H3I","-0.3371","-0.01774","-1.093","0.2778","0.4736","-5.817"
"MAP4K3","-0.3371","9.588","-3.179","0.002113","0.01466","-1.725"
"ZNF610","-0.3376","7.002","-1.517","0.1334","0.2901","-5.284"
"BTBD2","-0.3376","11.49","-2.957","0.004099","0.02365","-2.322"
"LOC731789","-0.3377","-0.5104","-2.038","0.04493","0.1339","-4.409"
"LIG3","-0.3377","8.855","-3.63","0.0005013","0.005292","-0.4102"
"GRIK4","-0.3377","7.832","-1.368","0.1753","0.3468","-5.491"
"CDC34","-0.3377","10.48","-3.197","0.001997","0.01404","-1.673"
"TRAP1","-0.3378","10.78","-4.038","0.0001242","0.002014","0.8806"
"SENP7","-0.3379","8.674","-2.877","0.005156","0.02803","-2.528"
"DZIP3","-0.338","9.236","-2.353","0.02113","0.0779","-3.768"
"EXOC6B","-0.3382","7.104","-1.771","0.08039","0.2031","-4.886"
"ZCCHC12","-0.3382","6.547","-0.7345","0.4648","0.6484","-6.136"
"PLK2","-0.3383","8.912","-1.274","0.2063","0.3877","-5.609"
"CEP72","-0.3384","6.187","-2.231","0.02855","0.0967","-4.026"
"ZNF423","-0.3386","8.296","-1.212","0.2293","0.4155","-5.684"
"TADA1","-0.3389","9.071","-3.045","0.003162","0.01958","-2.089"
"CAB39L","-0.3389","9.362","-1.902","0.06085","0.1668","-4.66"
"RPL13A","-0.3389","11.86","-2.194","0.03116","0.1031","-4.1"
"NIF3L1","-0.339","9.123","-3.503","0.0007607","0.007121","-0.7931"
"C17orf37","-0.3391","9.931","-2.195","0.03109","0.103","-4.099"
"NSMCE4A","-0.3393","8.327","-3.223","0.001844","0.01331","-1.601"
"FGF3","-0.3393","-0.6086","-1.417","0.1605","0.3282","-5.425"
"MRPL21","-0.3394","9.203","-2.779","0.006805","0.03441","-2.775"
"VASH2","-0.3395","5.709","-1.12","0.2659","0.4594","-5.787"
"LY6D","-0.3397","-0.3861","-1.553","0.1244","0.2763","-5.231"
"RBM4","-0.3397","11.19","-3.748","0.0003374","0.003991","-0.04517"
"PPP2R2D","-0.3397","8.668","-3.87","0.0002232","0.00302","0.3369"
"ALS2CR8","-0.3401","7.451","-2.696","0.008565","0.04053","-2.979"
"BMP5","-0.3402","1.228","-0.5843","0.5607","0.7317","-6.233"
"CTRB2","-0.3403","-0.3484","-1.509","0.1352","0.2925","-5.295"
"NR6A1","-0.3404","2.136","-1.146","0.2554","0.4471","-5.76"
"ZDHHC21","-0.3404","7.285","-2.101","0.03879","0.1212","-4.286"
"LOC81691","-0.3404","6.879","-1.452","0.1505","0.3142","-5.376"
"SCAPER","-0.3405","8.524","-2.819","0.006092","0.03173","-2.676"
"TOMM20","-0.3405","12.27","-4.027","0.0001291","0.002073","0.8446"
"TMEM8B","-0.3406","9.405","-2.482","0.01519","0.06134","-3.482"
"COX5B","-0.3407","11.22","-2.362","0.02062","0.07649","-3.747"
"COPS5","-0.3408","10.43","-3.778","0.0003047","0.003709","0.04893"
"TMEM200A","-0.3411","5.226","-0.7176","0.4751","0.6576","-6.148"
"GLRX3","-0.3411","9.333","-2.525","0.01357","0.05649","-3.383"
"ACADL","-0.3411","4.388","-0.757","0.4513","0.637","-6.12"
"OGDHL","-0.3413","6.706","-0.7458","0.458","0.6429","-6.128"
"C12orf57","-0.3418","10.94","-1.748","0.08438","0.2103","-4.925"
"JMY","-0.3418","8.915","-2.82","0.006073","0.03168","-2.674"
"CLCN4","-0.3419","9.197","-1.52","0.1326","0.2891","-5.28"
"C1orf59","-0.3421","5.838","-1.19","0.2377","0.4256","-5.71"
"LCMT1","-0.3424","9.336","-3.867","0.0002248","0.003039","0.3302"
"NCRNA00032","-0.3426","-0.2124","-1.412","0.1619","0.3303","-5.431"
